ESTADO;UNIDADE;VALOR;M_IIP_AE;M_IB_AE;M_A1_VAL;M_A1_PERC;M_A2_VAL;M_A2_PERC;M_B_VAL;M_B_PERC;M_C_VAL;M_C_PERC;M_D1_VAL;M_D1_PERC;M_D2_VAL;M_D2_PERC;M_E_VAL;M_E_PERC;M_IIP_AA;M_IB_AA;M_dep_agua_val;M_dep_agua_perc;M_dep_dom_val;M_dep_dom_perc;M_lixo_val;M_lixo_perc
AC;TRIMESTRE;1;4,10;4,36;0,22;0,96;33,21;45,92;13,39;16,15;3,89;12,51;4,61;8,72;5,72;19,75;0,94;0,53;0,11;0,21;33,43;46,87;18,22;29,20;10,33;28,48
AL;TRIMESTRE;1;1,71;1,89;0,14;2,35;7,01;65,30;1,23;10,02;0,37;4,66;0,06;0,15;0,46;2,73;0,06;0,09;0,01;0,05;7,15;67,65;1,66;14,77;0,52;2,87
AM;TRIMESTRE;1;1,79;1,79;0,20;1,85;5,78;18,89;6,41;15,50;0,85;1,94;2,90;6,70;6,63;17,56;0,34;0,98;0,74;0,89;5,98;20,74;7,61;18,42;9,54;24,26
CE;TRIMESTRE;1;0,90;0,94;0,64;5,69;5,84;41,46;2,35;10,38;0,70;3,68;0,46;0,89;0,83;2,59;0,03;0,00;0,04;0,09;6,48;47,15;3,09;14,06;1,29;3,49
ES;TRIMESTRE;1;1,64;1,93;0,64;2,53;4,88;12,85;9,68;24,18;4,75;8,92;2,47;2,87;3,97;14,81;0,51;1,05;0,00;0,00;5,52;15,38;14,95;34,14;6,44;17,68
GO;TRIMESTRE;1;2,14;2,52;0,40;2,42;5,03;23,37;4,29;16,46;1,42;5,43;2,37;10,87;8,11;30,32;0,09;0,39;0,37;0,45;5,43;25,79;5,80;22,27;10,49;41,20
MA;TRIMESTRE;1;3,03;3,28;0,58;4,35;8,47;40,36;2,20;10,85;1,20;8,54;1,79;10,83;2,02;10,96;0,19;0,88;0,75;0,81;9,04;44,71;3,59;20,27;3,81;21,79
MS;TRIMESTRE;1;1,58;1,86;0,14;1,38;3,19;16,23;7,09;27,39;1,22;5,48;1,85;9,93;5,14;28,49;0,11;0,98;0,14;0,13;3,33;17,61;8,42;33,85;6,99;38,42
MT;TRIMESTRE;1;2,60;3,10;0,04;0,83;8,32;22,53;4,22;19,55;0,87;2,80;2,76;12,39;8,44;37,36;0,19;0,77;0,55;0,66;8,36;23,36;5,28;23,12;11,20;49,75
PB;TRIMESTRE;1;2,24;2,35;0,67;8,83;7,97;68,88;0,79;6,02;0,53;5,60;0,10;0,74;0,17;2,62;0,02;0,58;0,01;0,00;8,64;77,71;1,35;12,20;0,27;3,36
PE;TRIMESTRE;1;2,68;3,02;0,57;3,37;24,92;73,52;2,13;7,81;1,19;7,69;0,10;0,89;0,20;1,22;0,01;0,00;0,02;0,02;25,48;76,90;3,32;15,50;0,30;2,11
PI;TRIMESTRE;1;1,03;1,13;0,32;3,39;2,92;39,88;0,71;10,39;0,25;3,76;0,42;5,65;0,50;3,75;0,00;0,02;0,08;0,11;3,24;43,27;0,97;14,17;0,92;9,41
PR;TRIMESTRE;1;2,84;3,65;0,20;1,56;2,81;14,50;4,94;20,74;0,91;3,64;1,67;8,64;8,73;32,36;0,37;1,68;0,18;0,14;3,01;16,06;6,22;26,06;10,40;41,00
RJ;TRIMESTRE;1;1,48;1,69;1,46;1,68;18,65;20,22;19,51;29,29;10,05;11,42;6,25;8,56;12,29;16,35;1,38;2,50;0,83;0,97;20,11;21,90;30,94;43,20;18,54;24,91
RN;TRIMESTRE;1;3,39;3,84;1,51;9,54;12,71;68,57;1,35;9,96;0,69;5,50;0,16;0,89;0,28;1,49;0,06;0,51;0,01;0,01;14,22;78,11;2,11;15,97;0,43;2,38
RO;TRIMESTRE;1;2,87;3,21;0,23;0,89;3,83;12,14;3,83;9,67;1,00;1,18;5,92;19,09;12,27;51,79;0,29;1,44;0,55;0,60;4,06;13,03;5,13;12,29;18,19;70,89
RR;TRIMESTRE;1;3,19;3,19;0,64;7,29;3,86;23,77;3,14;11,43;1,14;3,99;2,07;15,88;3,57;30,49;0,00;0,00;0,05;0,05;4,50;31,06;4,29;15,41;5,64;46,36
RS;TRIMESTRE;1;1,46;1,57;0,14;1,97;2,08;23,68;6,73;21,01;0,92;5,69;1,00;7,53;10,60;10,98;4,24;3,06;0,16;0,18;2,22;25,65;11,89;29,76;11,60;18,51
SP;TRIMESTRE;1;2,53;3,04;0,21;0,88;1,37;5,06;11,40;42,55;2,47;7,17;1,55;6,36;4,45;17,79;0,34;1,22;0,27;0,33;1,58;5,94;14,21;50,95;6,00;24,15
TO;TRIMESTRE;1;1,83;2,07;0,32;2,29;1,09;11,48;4,76;22,84;0,60;4,61;2,49;16,05;4,51;14,38;0,09;0,61;0,33;0,40;1,41;13,77;5,45;28,06;7,00;30,43
